ID;Latitude;Longitude;location_type;locality
10701247000199;-25.4613266;-49.324872;RANGE_INTERPOLATED;street_number
19324371000157;-25.4607025;-49.3344185;RANGE_INTERPOLATED;street_number
08104466000149;-25.4771986;-49.3350848;RANGE_INTERPOLATED;street_number
01129895000121;-25.5183399;-49.3349428;RANGE_INTERPOLATED;street_number
01089165000144;-25.4801288;-49.3425532;ROOFTOP;street_number
09089449000142;-25.4710162;-49.352751;RANGE_INTERPOLATED;street_number
01633884000184;-25.4534486;-49.349039;RANGE_INTERPOLATED;street_number
00855731000119;-25.4421818;-49.3443634;RANGE_INTERPOLATED;street_number
05169023000148;-25.440441;-49.3512654;RANGE_INTERPOLATED;street_number
19951933000192;-25.437893;-49.365963;ROOFTOP;street_number
11600005000171;-25.500606;-49.3121546;RANGE_INTERPOLATED;street_number
